Campaign,Filename,Hash,IP,URL_Domain
LockerGoga,LockerGoga,7e3f8b6b7ac0565bfcbf0a1e3e6fcfbc,,
LockerGoga,PsExec,27304b246c7d5b4e149124d5f93c5b01,,
LockerGoga,Kill.bat,e5ab4243c5fd78a04fdf13da0f7bacb3,,
LockerGoga,SSSL,950098276a495286eb2a2556fbab6d83,,
LockerGoga,LockerGoga,b2a701225c8c7f839be3c5009d52b4421063d93e,,
LockerGoga,PsExec,e50d9e3bd91908e13a26b3e23edeaf577fb3a095,,
LockerGoga,Kill.bat,16dcf9408153fcca5c141f8a16ecd8258165bfd0,,
LockerGoga,SSSL,6ece5ece4192683d2d84e25b0ba7e04f9cb7eb7c,,
LockerGoga,LockerGoga,7bcd69b3085126f7e97406889f78ab74e87230c11812b79406d723a80c08dd26,,
LockerGoga,PsExec,3337e3875b05e0bfba69ab926532e3f179e8cfbf162ebb60ce58a0281437a7ef,,
LockerGoga,Kill.bat,233beeb0853fdaf9c64c5295a04c9ffa154de0053dda403cc94a07705586d5eb,,
LockerGoga,SSSL,87f2085c32b6a2cc709b365f55873e207a9caa10bffecf2fd16d3cf9d94d390c,,
LockerGoga,,,103.73.65.116,
LockerGoga,,,185.202.174.86,
LockerGoga,,,185.202.174.91,
LockerGoga,,,176.126.85.207,
LockerGoga,,,62.210.136.65,
LockerGoga,,,185.202.174.80,
LockerGoga,,,93.115.26.171,
LockerGoga,,,185.202.174.81,
LockerGoga,,,100.25.217.29,
LockerGoga,,,103.249.28.87,
LockerGoga,,,103.86.44.122,
LockerGoga,,,104.37.104.44,
LockerGoga,,,104.41.61.34,
LockerGoga,,,104.43.14.250,
LockerGoga,,,104.7.1.182,
LockerGoga,,,108.61.171.82,
LockerGoga,,,109.228.50.121,
LockerGoga,,,112.213.124.220,
LockerGoga,,,118.184.49.164,
LockerGoga,,,122.10.119.32,
LockerGoga,,,123.59.118.241,
LockerGoga,,,128.199.151.172,
LockerGoga,,,13.112.123.148,
LockerGoga,,,13.65.101.42,
LockerGoga,,,13.65.147.163,
LockerGoga,,,13.93.215.101,
LockerGoga,,,134.209.125.40,
LockerGoga,,,138.197.117.200,
LockerGoga,,,138.197.153.4,
LockerGoga,,,138.197.206.21,
LockerGoga,,,141.105.69.73,
LockerGoga,,,144.208.127.140,
LockerGoga,,,145.100.105.99,
LockerGoga,,,149.56.115.70,
LockerGoga,,,158.255.7.49,
LockerGoga,,,159.203.166.93,
LockerGoga,,,159.65.100.45,
LockerGoga,,,173.254.235.42,
LockerGoga,,,174.140.165.15,
LockerGoga,,,18.202.173.173,
LockerGoga,,,18.207.105.173,
LockerGoga,,,18.212.152.40,
LockerGoga,,,18.214.39.103,
LockerGoga,,,184.72.194.73,
LockerGoga,,,184.74.150.189,
LockerGoga,,,185.118.66.114,
LockerGoga,,,185.125.231.156,
LockerGoga,,,185.65.206.117,
LockerGoga,,,185.77.66.73,
LockerGoga,,,185.82.202.74,
LockerGoga,,,185.86.151.146,
LockerGoga,,,188.166.236.56,
LockerGoga,,,192.126.90.148,
LockerGoga,,,192.162.100.55,
LockerGoga,,,192.225.226.39,
LockerGoga,,,192.225.227.43,
LockerGoga,,,192.241.192.76,
LockerGoga,,,192.241.250.189,
LockerGoga,,,192.241.254.131,
LockerGoga,,,198.154.107.216,
LockerGoga,,,198.46.138.98,
LockerGoga,,,198.74.51.46,
LockerGoga,,,212.8.189.28,
LockerGoga,,,213.163.73.34,
LockerGoga,,,213.165.246.66,
LockerGoga,,,217.146.27.53,
LockerGoga,,,23.105.220.10,
LockerGoga,,,23.229.34.84,
LockerGoga,,,31.192.105.28,
LockerGoga,,,34.215.113.217,
LockerGoga,,,34.230.152.184,
LockerGoga,,,34.239.0.159,
LockerGoga,,,34.250.111.153,
LockerGoga,,,35.165.112.226,
LockerGoga,,,35.167.52.118,
LockerGoga,,,35.232.213.202,
LockerGoga,,,38.100.163.115,
LockerGoga,,,40.71.92.214,
LockerGoga,,,40.86.87.161,
LockerGoga,,,45.32.122.168,
LockerGoga,,,45.32.124.156,
LockerGoga,,,45.32.13.224,
LockerGoga,,,45.32.42.53,
LockerGoga,,,45.55.170.224,
LockerGoga,,,45.63.70.117,
LockerGoga,,,46.101.193.77,
LockerGoga,,,46.166.173.109,
LockerGoga,,,47.52.61.250,
LockerGoga,,,47.92.204.240,
LockerGoga,,,47.92.255.140,
LockerGoga,,,5.255.81.155,
LockerGoga,,,52.17.47.194,
LockerGoga,,,52.205.63.188,
LockerGoga,,,52.211.61.109,
LockerGoga,,,52.26.15.34,
LockerGoga,,,52.50.69.78,
LockerGoga,,,52.89.235.254,
LockerGoga,,,52.90.106.50,
LockerGoga,,,54.159.197.103,
LockerGoga,,,54.186.65.204,
LockerGoga,,,54.201.61.37,
LockerGoga,,,54.92.130.254,
LockerGoga,,,64.69.57.222,
LockerGoga,,,66.192.70.36,
LockerGoga,,,69.196.152.38,
LockerGoga,,,77.40.160.42,
LockerGoga,,,93.95.100.171,
LockerGoga,,,94.140.116.183,
LockerGoga,,,45.227.255.117,
